1,1,22.08,11.46,2,4,4,1.585,0,0,0,1,2,100,1213,0
2,0,22.67,7,2,8,4,0.165,0,0,0,0,2,160,1,0
3,0,29.58,1.75,1,4,4,1.25,0,0,0,1,2,280,1,0
4,0,21.67,11.5,1,5,3,0,1,1,11,1,2,0,1,1
5,1,20.17,8.17,2,6,4,1.96,1,1,14,0,2,60,159,1
6,0,15.83,0.585,2,8,8,1.5,1,1,2,0,2,100,1,1
7,1,17.42,6.5,2,3,4,0.125,0,0,0,0,2,60,101,0
8,0,58.67,4.46,2,11,8,3.04,1,1,6,0,2,43,561,1
9,1,27.83,1,1,2,8,3,0,0,0,0,2,176,538,0
10,0,55.75,7.08,2,4,8,6.75,1,1,3,1,2,100,51,0
11,1,33.5,1.75,2,14,8,4.5,1,1,4,1,2,253,858,1
12,1,41.42,5,2,11,8,5,1,1,6,1,2,470,1,1
13,1,20.67,1.25,1,8,8,1.375,1,1,3,1,2,140,211,0
14,1,34.92,5,2,14,8,7.5,1,1,6,1,2,0,1001,1
15,1,58.58,2.71,2,8,4,2.415,0,0,0,1,2,320,1,0
16,1,48.08,6.04,2,4,4,0.04,0,0,0,0,2,0,2691,1
17,1,29.58,4.5,2,9,4,7.5,1,1,2,1,2,330,1,1
18,0,18.92,9,2,6,4,0.75,1,1,2,0,2,88,592,1
19,1,20,1.25,1,4,4,0.125,0,0,0,0,2,140,5,0
20,0,22.42,5.665,2,11,4,2.585,1,1,7,0,2,129,3258,1
21,0,28.17,0.585,2,6,4,0.04,0,0,0,0,2,260,1005,0
22,0,19.17,0.585,1,6,4,0.585,1,0,0,1,2,160,1,0
23,1,41.17,1.335,2,2,4,0.165,0,0,0,0,2,168,1,0
24,1,41.58,1.75,2,4,4,0.21,1,0,0,0,2,160,1,0
25,1,19.5,9.585,2,6,4,0.79,0,0,0,0,2,80,351,0
26,1,32.75,1.5,2,13,8,5.5,1,1,3,1,2,0,1,1
27,1,22.5,0.125,1,4,4,0.125,0,0,0,0,2,200,71,0
28,1,33.17,3.04,1,8,8,2.04,1,1,1,1,2,180,18028,1
29,0,30.67,12,2,8,4,2,1,1,1,0,2,220,20,1
30,1,23.08,2.5,2,8,4,1.085,1,1,11,1,2,60,2185,1
31,1,27,0.75,2,8,8,4.25,1,1,3,1,2,312,151,1
32,0,20.42,10.5,1,14,8,0,0,0,0,1,2,154,33,0
33,1,52.33,1.375,1,8,8,9.46,1,0,0,1,2,200,101,0
34,1,23.08,11.5,2,9,8,2.125,1,1,11,1,2,290,285,1
35,1,42.83,1.25,2,7,4,13.875,0,1,1,1,2,352,113,0
36,1,74.83,19,1,1,1,0.04,0,1,2,0,2,0,352,0
37,1,25,12.5,2,6,4,3,1,0,0,1,1,20,1,1
38,1,39.58,13.915,2,9,4,8.625,1,1,6,1,2,70,1,1
39,0,47.75,8,2,8,4,7.875,1,1,6,1,2,0,1261,1
40,0,47.42,3,2,14,4,13.875,1,1,2,1,2,519,1705,1
41,1,23.17,0,2,13,4,0.085,1,0,0,0,2,0,1,1
42,1,22.58,1.5,1,6,4,0.54,0,0,0,1,2,120,68,0
43,1,26.75,1.125,2,14,8,1.25,1,0,0,0,2,0,5299,1
44,1,63.33,0.54,2,8,4,0.585,1,1,3,1,2,180,1,0
45,1,23.75,0.415,1,8,4,0.04,0,1,2,0,2,128,7,0
46,0,20.75,10.25,2,11,4,0.71,1,1,2,1,2,49,1,1
47,0,24.5,1.75,1,8,4,0.165,0,0,0,0,2,132,1,0
48,1,16.17,0.04,2,8,4,0.04,0,0,0,0,2,0,1,1
49,0,29.5,2,1,10,8,2,0,0,0,0,2,256,18,0
50,0,52.83,15,2,8,4,5.5,1,1,14,0,2,0,2201,1
51,1,32.33,3.5,2,4,4,0.5,0,0,0,1,2,232,1,0
52,1,21.08,4.125,1,3,8,0.04,0,0,0,0,2,140,101,0
53,1,28.17,0.125,1,4,4,0.085,0,0,0,0,2,216,2101,0
54,1,19,1.75,1,8,4,2.335,0,0,0,1,2,112,7,0
55,1,27.58,3.25,1,11,8,5.085,0,1,2,1,2,369,2,0
56,1,27.83,1.5,2,9,4,2,1,1,11,1,2,434,36,1
57,1,40,6.5,2,6,5,3.5,1,1,1,0,2,0,501,1
58,0,37.33,2.5,2,3,8,0.21,0,0,0,0,2,260,247,0
59,1,42.5,4.915,1,9,4,3.165,1,0,0,1,2,52,1443,1
60,1,56.75,12.25,2,7,4,1.25,1,1,4,1,2,200,1,1
61,1,43.17,5,2,3,5,2.25,0,0,0,1,2,141,1,0
62,0,23.75,0.71,2,9,4,0.25,0,1,1,1,2,240,5,0
63,1,18.5,2,2,3,4,1.5,1,1,2,0,2,120,301,1
64,0,40.83,3.5,2,3,5,0.5,0,0,0,0,1,1160,1,0
65,0,24.5,0.5,2,11,8,1.5,1,0,0,0,2,280,825,1
66,1,42,9.79,2,14,8,7.96,1,1,8,0,2,0,1,1
67,0,19.5,0.165,2,11,4,0.04,0,0,0,1,2,380,1,0
68,1,21.5,11.5,2,3,4,0.5,1,0,0,1,2,100,69,0
69,1,31.25,2.835,2,1,1,0,0,1,5,0,2,176,147,0
70,1,27.25,1.585,2,13,8,1.835,1,1,12,1,2,583,714,1
71,1,48.75,26.335,1,1,1,0,1,0,0,1,2,0,1,0
72,0,30.42,1.375,2,9,8,0.04,0,1,3,0,2,0,34,0
73,1,29.42,1.25,2,9,4,1.75,0,0,0,0,2,200,1,0
74,1,28.25,5.04,1,8,5,1.5,1,1,8,1,2,144,8,1
75,1,40.25,21.5,2,10,9,20,1,1,11,0,2,0,1201,1
76,1,36.5,4.25,2,11,4,3.5,0,0,0,0,2,454,51,0
77,1,25.58,0.335,2,4,8,3.5,0,0,0,1,2,340,1,0
78,1,29.83,3.5,2,8,4,0.165,0,0,0,0,2,216,1,0
79,1,23.08,0,2,4,4,1,0,1,11,0,1,0,1,0
80,0,32.17,1.46,2,9,4,1.085,1,1,16,0,2,120,2080,1
81,1,25.17,3.5,2,13,4,0.625,1,1,7,0,2,0,7060,1
82,0,35.17,3.75,2,1,1,0,0,1,6,0,2,0,201,0
83,0,18.58,10,2,2,4,0.415,0,0,0,0,2,80,43,0
84,1,39.92,5,2,3,5,0.21,0,0,0,0,2,550,1,0
85,1,23.42,1,2,8,4,0.5,0,0,0,1,1,280,1,0
86,1,37.58,0,2,8,4,0,0,0,0,0,3,184,1,1
87,0,24.75,13.665,2,11,8,1.5,0,0,0,0,2,280,2,0
88,0,47,13,2,3,5,5.165,1,1,9,1,2,0,1,1
89,1,34.17,5.25,2,9,4,0.085,0,0,0,1,2,290,7,1
90,1,22.17,0.585,1,1,1,0,0,0,0,0,2,100,1,0
91,1,27.75,1.29,2,4,8,0.25,0,0,0,1,1,140,1,0
92,1,42.75,4.085,2,6,4,0.04,0,0,0,0,2,108,101,0
93,1,28.67,14.5,2,2,4,0.125,0,0,0,0,2,0,287,0
94,1,36.25,5,2,8,5,2.5,1,1,6,0,2,0,368,1
95,0,18.17,10,1,11,8,0.165,0,0,0,0,2,340,1,0
96,1,21.25,1.5,2,9,4,1.5,0,0,0,0,2,150,9,1
97,0,38.92,1.665,2,6,4,0.25,0,0,0,0,2,0,391,0
98,1,31.83,0.04,1,7,4,0.04,0,0,0,0,2,0,1,0
99,0,17.33,9.5,2,6,4,1.75,0,1,10,1,2,0,11,0
100,0,20.42,0.835,2,11,4,1.585,1,1,1,0,2,0,1,1
